,Unnamed: 0,intersect,obs,forecast,date,level_0,index,x,y,case,fcsthr,met_x,met_y,interest,area,bound_dist,percentile_90,centroid_dist,length,julian_date,real_date,ddif
0,6,-999.0,-999.0,-999.0,19851208_000000,0,0,-152.45189,37.2385,F001,1440000.0,110.19244,508.95401,0.92505,0.46018,0.0,834.33707,9.59419,127.28896,342,,
2,8,1887.0,4371.0,2830.0,19851210_000000,2,2,-144.91113,38.1214,F001,1440000.0,140.35547,512.48559,0.89767,0.5445,0.0,1139.65349,11.72929,126.47689,344,1985-12-10,
3,9,1152.0,2372.0,2047.0,19851211_000000,3,3,-147.77399,41.55376,F001,1440000.0,128.90405,526.21504,0.7643,0.18086,0.0,841.1846,23.35246,159.20452,345,,
4,14,-999.0,-999.0,-999.0,19851216_000000,1336,0,-138.34514,47.37789,F001,1440000.0,166.61944,549.51157,,,,730.88442,,116.72616,350,,
5,15,1598.0,3027.0,2326.0,19851217_000000,4,5,-141.8173,41.46056,F001,1440000.0,152.73081,525.84223,0.82907,0.43839,0.0,909.50739,26.06716,173.50071,351,1985-12-17,7 days
6,18,1724.0,3708.0,3524.0,19851220_000000,7,7,-143.04767,38.26888,F001,1440000.0,147.80934,513.07553,0.832,0.40047,0.0,932.94668,46.55798,135.1301,354,,
7,19,1369.0,2272.0,2610.0,19851221_000000,8,8,-136.06425,45.37109,F001,1440000.0,175.74298,541.48436,0.7855,0.23696,0.0,730.37329,41.04881,135.74296,355,,
8,21,3601.0,4708.0,3878.0,19851223_000000,9,9,-151.96629,46.46665,F001,1440000.0,112.13484,545.86661,0.87359,0.65101,0.0,976.48117,16.25308,114.34098,357,,
9,22,2169.0,3331.0,3208.0,19851224_000000,10,11,-147.94278,39.42555,F001,1440000.0,128.22887,517.70221,0.94993,0.44029,0.0,862.21772,5.75708,141.8311,358,1985-12-24,5 days
10,26,-999.0,-999.0,-999.0,19851228_000000,1338,2,-136.55616,29.66671,F001,1440000.0,173.77534,478.66685,,,,773.58131,,77.71167,362,,
11,29,-999.0,-999.0,-999.0,19851231_000000,13,13,-151.99088,47.1115,F001,1440000.0,112.03647,548.446,0.77352,0.18855,0.0,642.04963,26.49783,83.07176,365,,
12,33,-999.0,-999.0,-999.0,19860104_000000,14,14,-149.62773,42.10751,F001,1440000.0,121.48907,528.43005,0.7097,0.17419,0.0,756.11699,45.49139,96.87249,4,,
14,36,1993.0,2795.0,2631.0,19860107_000000,15,15,-135.46766,42.04972,F001,1440000.0,178.12935,528.19888,0.97796,0.77747,0.0,887.60152,1.88358,74.52647,7,,
16,38,1424.0,1872.0,1811.0,19860109_000000,17,17,-141.53959,40.02236,F001,1440000.0,153.84163,520.08943,0.94993,0.64904,0.0,823.45297,6.21309,155.73875,9,,
18,41,2156.0,3228.0,3220.0,19860112_000000,19,19,-138.65472,40.79895,F001,1440000.0,165.38111,523.1958,0.8869,0.78315,0.0,816.35691,12.99528,140.26982,12,,
19,44,991.0,1587.0,1309.0,19860115_000000,20,24,-149.06312,35.67766,F001,1440000.0,123.74753,502.71065,0.96115,0.7259,0.0,914.24797,6.18943,89.6192,15,1986-01-15,19 days
20,45,747.0,1769.0,1814.0,19860116_000000,21,21,-142.29695,37.66303,F001,1440000.0,150.8122,510.65211,0.73014,0.108,0.0,685.60291,21.8837,97.2413,16,,
21,48,669.0,1004.0,1407.0,19860119_000000,23,23,-132.20953,37.56395,F001,1440000.0,191.16188,510.25578,0.83026,0.38745,0.0,867.952,29.60251,72.76329,19,,
22,49,-999.0,-999.0,-999.0,19860120_000000,1695,2,-155.62799,37.42371,O001,1440000.0,97.48802,509.69483,,,,987.67998,,63.92847,20,,
23,56,-999.0,-999.0,-999.0,19860127_000000,1340,4,-134.89201,34.25638,F001,1440000.0,180.43196,497.02552,,,,797.1054,,101.29009,27,,
24,57,-999.0,-999.0,-999.0,19860128_000000,1341,5,-139.24941,24.18238,F001,1440000.0,163.00234,456.72951,,,,726.11353,,62.51831,28,,
26,61,353.0,1524.0,385.0,19860201_000000,29,29,-145.57496,32.34749,F001,1440000.0,137.70015,489.38996,0.8796,0.51489,0.0,685.45505,15.06915,69.74866,32,,
27,63,-999.0,-999.0,-999.0,19860203_000000,1342,6,-156.68142,43.45281,F001,1440000.0,93.27433,533.81125,,,,728.41322,,60.86167,34,,
28,64,268.0,906.0,1894.0,19860204_000000,30,41,-150.17121,35.63641,F001,1440000.0,119.31518,502.54564,0.88062,0.58168,0.0,882.29877,15.00655,83.15298,35,1986-02-04,5 days
31,68,-999.0,-999.0,-999.0,19860208_000000,1701,8,-149.89673,43.01016,O001,1440000.0,120.41309,532.04063,,,,633.18504,,62.39147,39,,
33,76,944.0,2649.0,1353.0,19860216_000000,36,36,-147.84106,28.09639,F001,1440000.0,128.63577,472.38554,0.90354,0.85251,0.0,770.64176,9.24982,72.95373,47,,
34,83,4215.0,6008.0,4688.0,19860223_000000,40,40,-148.24947,34.36993,F001,1440000.0,127.00212,497.4797,0.86461,0.89302,0.0,911.22131,17.48182,101.64848,54,,
35,87,987.0,1815.0,2636.0,19860227_000000,44,44,-138.38146,38.82404,F001,1440000.0,166.47417,515.29614,0.8335,0.50138,0.0,835.72768,24.73948,138.45433,58,,
37,90,1256.0,2180.0,2729.0,19860302_000000,45,65,-135.70281,39.06896,F001,1440000.0,177.18876,516.27584,0.83056,0.42274,0.0,707.59674,38.54012,95.16493,61,1986-03-02,4 days
38,91,-999.0,-999.0,-999.0,19860303_000000,1344,8,-134.05617,41.70848,F001,1440000.0,183.77531,526.83393,,,,639.03102,,78.43066,62,,
39,95,2642.0,3631.0,3189.0,19860307_000000,49,49,-143.23134,33.18277,F001,1440000.0,147.07464,492.73109,0.92471,0.72322,0.0,1005.80209,9.38673,145.89642,66,,
40,96,718.0,1673.0,1936.0,19860308_000000,50,50,-132.2827,33.66489,F001,1440000.0,190.86921,494.65957,1.0,0.66667,0.0,826.13104,2.04285,105.20869,67,,
41,100,-999.0,-999.0,-999.0,19860312_000000,1706,13,-144.51153,31.37546,O001,1440000.0,141.95387,485.50185,,,,687.30455,,116.54143,71,,
42,101,52.0,444.0,321.0,19860313_000000,52,52,-132.67171,31.03114,F001,1440000.0,189.31317,484.12456,0.74805,0.12613,0.0,731.52197,25.62784,61.18771,72,,
43,106,-999.0,-999.0,-999.0,19860318_000000,1346,10,-146.82178,38.32073,F001,1440000.0,132.71289,513.28291,,,,771.23337,,94.7988,77,,
44,109,-999.0,-999.0,-999.0,19860321_000000,1707,14,-128.17311,48.78433,O001,1440000.0,207.30754,555.13733,,,,631.68927,,67.26079,80,,
45,112,-999.0,-999.0,-999.0,19860324_000000,1347,11,-127.32979,40.70053,F001,1440000.0,210.68085,522.80213,,,,650.64477,,57.66176,83,,
46,113,-999.0,-999.0,-999.0,19860325_000000,1708,15,-145.72522,38.98045,O001,1440000.0,137.09912,515.92181,,,,677.86553,,72.57812,84,,
47,114,-999.0,-999.0,-999.0,19860326_000000,1348,12,-135.02988,40.22715,F001,1440000.0,179.88049,520.90861,,,,582.54651,,58.133,85,,
48,125,-999.0,-999.0,-999.0,19861207_000000,1709,16,-153.68585,34.8101,O001,1440000.0,105.25661,499.24041,,,,647.51523,,71.76265,341,,
49,126,1675.0,2568.0,2553.0,19861208_000000,54,54,-148.66266,46.91485,F001,1440000.0,125.34934,547.65939,0.89829,0.66907,0.0,690.45352,11.94548,97.08757,342,,
